Team,TeamID,AVG,ERA,FP,W
Angels,ANA,0.26,4.28,0.983,74
Astros,HOU,0.247,4.06,0.987,84
Athletics,OAK,0.246,4.51,0.984,69
Blue Jays,TOR,0.248,3.79,0.986,89
Braves,ATL,0.255,4.51,0.983,68
Brewers,MIL,0.244,4.1,0.978,73
Cardinals,SLN,0.255,4.08,0.983,86
Cubs,CHN,0.256,3.15,0.984,103
Diamondbacks,ARI,0.261,5.09,0.984,69
Dodgers,LAN,0.249,3.7,0.986,91
Giants,SFN,0.258,3.69,0.988,87
Indians,CLE,0.262,3.86,0.985,94
Mariners,SEA,0.259,4,0.985,86
Marlins,MIA,0.263,4.05,0.985,79
Mets,NYN,0.246,3.58,0.985,87
Nationals,WAS,0.256,3.52,0.988,95
Orioles,BAL,0.256,4.22,0.987,89
Padres,SDN,0.235,4.44,0.982,68
Phillies,PHI,0.24,4.64,0.984,71
Pirates,PIT,0.257,4.22,0.982,78
Rangers,TEX,0.262,4.38,0.984,95
Rays,TBA,0.243,4.2,0.984,68
Red Sox,BOS,0.282,4,0.987,93
Reds,CIN,0.256,4.91,0.983,68
Rockies,COL,0.275,4.92,0.982,75
Royals,KCA,0.261,4.21,0.984,81
Tigers,DET,0.267,4.24,0.987,86
Twins,MIN,0.251,5.09,0.979,59
White Sox,CHA,0.257,4.12,0.984,78
Yankees,NYA,0.252,4.16,0.985,84
